author,comment
@swadhinbiswal3650,"Beautiful people of MANIT, Thank you College Tips for sharing..."
@Veer-g7f,Reporter apna intro dedena ☠️
@amarjeetkumar-jj7it,"I am CSE 2nd year from NIT-BHOPAL. ""NIT BHOPAL is the GANGSTER of all NIT"""
@sudhirsingh1563,बकवास  ऐसा विडीओ  न बनाये  अरे कुछ  भी
@mr_singh943,Dhekte hai kitni ijjat utarte hai aa rhe hai MP 17 se
@preethamreddy6666,Going to this clg
@zainabhakim5427,⚡⚡
@GouravSharma-to5lv,
@mohinabanerjee,❤❤
@mohinabanerjee,Relatable
@Riyalllsworld,Nice
@sarveshapandit9450,Awesome video
@Gokupp4,Amazing
@anmol.tripathi18,wahhh
@arpitasingh7673,Great
@xii.b.20mehaknisha41,
@AdityaPandey-v3h,
@kamakhshgujral,
@Crimestorieswithsimran,Bhai mera ek dost bhi ja raha hai rewa se hi hai
@Mohdkamil5856,"Kia nam hai bhai, ijjat hai ki gya"
@reality8419,
@Ggbhopal,
@amanhooda1393,Great
@NinaHero,
@anshumanmaurya9889,factual ✊
@sreyabhattacharya2914,2:54 deepider goyal
@kanishkas7723,
@freespirtied,❤❤❤❤❤
@himakarkh8294,M.tech ka mechanical ka average placement kitna h bhopal ka pls tell me anyone
@HimanshuKumar-fz1um,Great
@ajeetsharma3862,Not an Institute it's a feelings ♥️
@mokshwadhwani9234,Intro dedena apna reply me jo bhi 26 batch ka ho
@mahimachoudhary1214,The NITian
@Lonewolf_2810,Nice video
@Devansh-NITB,
@sangeetarajayan1039,
@Privlogs07,
@ritikachauve5960,
@priyankadash5572,
@shrivastavapragya1768,
@arungarai9856,​ @downloadsatisfyingvideos  Bhai apka insta I'd ya kuch dedo mujhe bhi civil maila hai kunch baat karni hai
@preethiganta7267,How is manit for architecture
@preethamreddy6666,"Veer bahadur londe kon 
MACT MACT"
@motivational_shorts87,1st year k liye jail h
@GamerBoy_India,Awesome
@janhit421,Great
@shadowx9720,Great video
@soumenmondal4897,Nice
@kushagrawason,Nice
@dibsworld,
@MVBMohdAnas,❤
@virensehgal3264,
@ayushiJ896,❤
@itsmidnightnotes,❤❤❤
@Rowdy_MS,
@mayanksharma9207,Great video
@saraswatibiswal6524,❤
@khushipruthi,Nice
@KhushiAwasthi-v5l,I'm Preparing for JEE 2024.....
@mysteryman5705,Factual bhai hostel se class class se hostel
@Aditya_trh,bro kyu h aisa koi action nhi leta ragging pe
@suryanshrathore2109,Mai usi jail ka kaidi hu
@rishabhkumar263,1:28
@karanveersingh7081,What is your score
@NaroBegum,aur bhaiiii kya huaa
@AdityaPawar-br7kc,
@KESHAV.x.y,
